Student_ID,Name,Gender,Class,Math,Science,English,Computer,Social_Studies
1087,Student_87,Female,12B,76,35,48,85,54
1088,Student_88,Male,12B,68,73,36,98,77
1089,Student_89,Female,10B,82,95,46,56,97
1090,Student_90,Female,12A,42,89,92,77,77
1091,Student_91,Female,12B,44,36,90,96,36
1092,Student_92,Female,12A,39,51,58,88,57
1093,Student_93,Female,11B,82,63,71,61,46
1094,Student_94,Female,10B,60,38,63,63,80
1095,Student_95,Female,12B,57,98,76,50,67
1096,Student_96,Female,11B,96,77,52,45,78
1097,Student_97,Female,10A,47,46,37,55,59
1098,Student_98,Female,10A,43,84,47,43,69
1099,Student_99,Female,10B,54,95,63,61,69
1100,Student_100,Male,12B,91,85,100,57,99
1101,Student_101,Male,12B,58,39,93,85,77
1102,Student_102,Female,12B,67,62,82,37,96
1103,Student_103,Female,12A,54,44,38,50,65
1104,Student_104,Female,11B,94,86,85,42,62
1105,Student_105,Female,12B,82,51,39,76,45
1106,Student_106,Female,11B,98,99,73,69,66
1107,Student_107,Female,10B,64,55,75,82,100
1108,Student_108,Female,12B,51,88,39,88,94
1109,Student_109,Female,10B,48,83,42,70,85
1110,Student_110,Male,12B,53,56,90,40,93
1111,Student_111,Female,10A,93,98,59,46,51
1112,Student_112,Male,11A,78,70,86,93,72
1113,Student_113,Female,10B,66,55,86,99,98
1114,Student_114,Female,12B,45,90,41,84,37
1115,Student_115,Male,11A,36,82,95,77,88
1116,Student_116,Female,10B,51,52,81,77,78
1117,Student_117,Male,12A,74,49,100,83,64
1118,Student_118,Female,12B,80,78,93,89,88
1119,Student_119,Female,12A,38,79,39,84,82
1120,Student_120,Male,10A,72,70,78,55,69
1121,Student_121,Female,12B,97,74,76,47,60
1122,Student_122,Male,10A,63,85,95,76,90
1123,Student_123,Female,11A,53,64,97,49,98
1124,Student_124,Male,10B,63,60,84,84,63
1125,Student_125,Male,11B,69,65,72,35,93
1126,Student_126,Female,10A,57,90,88,85,59
1127,Student_127,Female,11B,80,95,78,68,61
1128,Student_128,Male,11B,78,51,58,76,56
1129,Student_129,Female,10B,82,58,97,96,81
1130,Student_130,Female,11A,86,38,73,66,89
1131,Student_131,Female,10B,42,43,46,95,43
1132,Student_132,Male,12B,89,36,97,88,88
1133,Student_133,Male,10A,100,69,43,92,98
1134,Student_134,Male,11B,74,72,56,58,73
1135,Student_135,Male,10B,65,79,70,61,42
1136,Student_136,Male,10B,82,49,62,55,61
1137,Student_137,Male,10B,95,76,90,52,67
1138,Student_138,Male,10A,86,37,63,89,44
1139,Student_139,Male,11A,72,65,39,81,50
1140,Student_140,Male,10B,70,86,38,88,45
1141,Student_141,Female,10A,89,75,85,52,53
1142,Student_142,Male,11B,47,91,49,98,98
1143,Student_143,Female,12B,71,76,94,83,86
1144,Student_144,Female,12A,81,87,60,69,49
1145,Student_145,Female,10A,56,90,57,73,76
1146,Student_146,Male,12A,73,87,63,92,72
1147,Student_147,Male,10B,92,66,91,91,83
1148,Student_148,Male,10B,64,88,96,40,83
1149,Student_149,Male,10A,52,71,93,54,89
1150,Student_150,Female,12A,52,42,82,84,56
1151,Student_151,Male,10B,73,45,69,43,77
1152,Student_152,Male,11B,60,88,80,48,84
1153,Student_153,Male,11A,41,94,67,57,53
1154,Student_154,Male,11A,99,44,44,82,52
1155,Student_155,Male,10B,80,76,82,90,44
1156,Student_156,Female,12A,52,71,78,74,84
1157,Student_157,Male,12B,47,92,97,73,83
1158,Student_158,Female,10B,59,93,83,77,75
1159,Student_159,Male,12B,42,58,75,65,49
1160,Student_160,Female,12B,66,62,73,37,57
1161,Student_161,Male,12A,51,71,57,38,61
1162,Student_162,Male,12B,82,55,47,61,40
1163,Student_163,Female,11B,97,67,87,61,58
1164,Student_164,Female,12A,74,36,91,81,43
1165,Student_165,Female,10B,49,62,82,94,96
1166,Student_166,Male,11B,40,49,54,70,76
1167,Student_167,Female,10A,97,35,96,80,94
1168,Student_168,Male,11A,42,62,79,95,82
1169,Student_169,Male,10B,66,84,97,76,90
1170,Student_170,Female,10B,79,69,42,41,39
1171,Student_171,Female,10B,86,62,60,64,88
1172,Student_172,Male,11B,47,43,72,84,72
1173,Student_173,Male,10A,58,58,75,81,53
1174,Student_174,Female,12A,74,97,36,74,58
1175,Student_175,Female,10A,48,38,41,39,44
1176,Student_176,Female,11B,96,90,59,92,55
1177,Student_177,Male,10B,95,75,85,78,49
1178,Student_178,Male,11A,35,82,84,66,98
1179,Student_179,Male,10B,100,92,98,74,47
1180,Student_180,Male,12A,66,73,46,91,74
1181,Student_181,Male,12B,47,59,87,45,42
1182,Student_182,Male,11A,67,94,44,74,72
1183,Student_183,Female,10B,66,81,95,81,86
1184,Student_184,Male,11A,90,95,89,36,36
1185,Student_185,Male,12B,58,61,76,86,56
1186,Student_186,Male,10A,38,76,100,83,38
1187,Student_187,Female,11B,57,86,78,93,86
1188,Student_188,Male,10B,63,82,62,72,41
1189,Student_189,Male,12A,55,66,92,50,35
1190,Student_190,Female,10A,64,58,36,61,92
1191,Student_191,Male,10B,54,37,89,62,96
1192,Student_192,Male,10A,50,61,68,100,100
1193,Student_193,Male,12A,83,74,54,79,89
1194,Student_194,Male,10B,92,57,81,67,47
1195,Student_195,Male,12B,78,41,60,94,62
1196,Student_196,Female,12B,59,71,35,84,48
1197,Student_197,Female,12A,57,41,99,80,37
1198,Student_198,Female,11A,93,56,49,69,50
1199,Student_199,Male,12A,35,51,48,75,80
1200,Student_200,Male,11A,49,53,89,92,37
1201,Student_201,Male,10B,86,73,35,89,37
1202,Student_202,Female,11A,92,70,67,39,75
1203,Student_203,Male,10B,75,49,90,39,63
1204,Student_204,Male,10B,78,97,57,56,74
1205,Student_205,Female,11B,38,63,88,68,53
1206,Student_206,Male,10B,41,94,37,99,54
1207,Student_207,Female,11A,80,90,80,93,55
1208,Student_208,Female,11B,43,74,40,51,54
1209,Student_209,Female,11B,67,50,59,85,81
1210,Student_210,Male,10B,67,67,51,83,78
1211,Student_211,Male,12A,38,50,62,43,36
1212,Student_212,Male,12A,99,64,66,49,77
1213,Student_213,Male,12B,68,100,57,63,91
1214,Student_214,Male,11B,98,78,50,87,53
1215,Student_215,Male,10B,59,72,60,59,98
1216,Student_216,Male,12A,89,85,67,62,80
1217,Student_217,Female,10B,43,94,92,57,75
1218,Student_218,Male,10B,51,52,82,37,48
1219,Student_219,Female,11B,55,39,89,67,54
1220,Student_220,Male,12B,94,74,75,51,69
1221,Student_221,Male,11B,47,40,96,68,59
1222,Student_222,Male,10A,37,46,51,42,38
1223,Student_223,Female,12A,38,46,93,79,91
1224,Student_224,Female,12A,41,56,48,94,36
1225,Student_225,Female,12A,60,83,55,90,100
1226,Student_226,Female,11A,58,84,97,56,55
1227,Student_227,Male,10B,44,38,80,67,86
1228,Student_228,Female,11B,47,84,89,84,49
1229,Student_229,Male,12A,78,37,96,80,80
1230,Student_230,Male,10A,73,50,73,86,65
1231,Student_231,Female,12A,53,48,76,100,96
1232,Student_232,Female,12B,85,98,82,55,68
1233,Student_233,Female,10B,53,75,62,58,70
1234,Student_234,Female,10B,86,93,40,82,78
1235,Student_235,Female,11B,81,36,93,47,97
1236,Student_236,Female,11A,64,44,73,98,52
1237,Student_237,Female,11B,80,60,91,39,79
1238,Student_238,Female,12A,55,38,88,52,73
1239,Student_239,Male,12B,82,62,94,71,60
1240,Student_240,Female,10A,96,36,51,88,58
1241,Student_241,Female,11B,92,100,74,66,92
1242,Student_242,Male,11A,52,50,100,62,84
1243,Student_243,Female,11B,93,91,88,79,73
1244,Student_244,Male,10B,82,57,78,62,65
1245,Student_245,Male,12A,97,57,91,99,70
1246,Student_246,Female,12A,46,55,70,76,73
1247,Student_247,Male,12A,68,59,91,67,55
1248,Student_248,Male,12A,95,92,77,50,57
1249,Student_249,Male,12A,87,71,78,47,88
1250,Student_250,Male,12A,59,83,96,55,70
1251,Student_251,Female,10A,96,49,95,93,49
1252,Student_252,Male,11A,38,62,45,81,36
1253,Student_253,Female,12A,47,38,67,73,72
1254,Student_254,Male,11A,76,81,100,77,99
1255,Student_255,Male,12B,83,84,57,61,84
1256,Student_256,Male,12A,90,94,83,71,35
1257,Student_257,Male,11B,81,96,54,37,55
1258,Student_258,Female,12A,42,77,49,41,91
1259,Student_259,Female,10B,89,92,100,92,53
1260,Student_260,Male,10A,52,86,64,54,63
1261,Student_261,Male,11B,69,80,38,99,84
1262,Student_262,Female,11B,66,59,98,48,68
1263,Student_263,Male,10B,58,59,99,83,88
1264,Student_264,Male,12A,41,69,42,71,66
1265,Student_265,Male,10A,47,95,86,40,38
1266,Student_266,Female,11B,76,49,48,40,64
1267,Student_267,Female,10A,65,69,92,62,52
1268,Student_268,Female,11B,60,63,45,47,63
1269,Student_269,Male,12A,66,72,93,47,46
1270,Student_270,Male,12B,86,58,58,44,49
1271,Student_271,Female,11B,54,53,66,73,87
1272,Student_272,Female,12B,74,80,80,57,69
1273,Student_273,Female,11B,93,83,62,71,86
1274,Student_274,Female,11A,48,78,50,42,87
1275,Student_275,Male,12A,78,60,76,94,48
1276,Student_276,Female,10B,82,59,50,39,52
1277,Student_277,Male,12B,77,69,46,61,72
1278,Student_278,Female,10B,50,70,96,53,72
1279,Student_279,Male,12A,69,48,68,77,89
1280,Student_280,Female,10B,87,90,72,77,45
1281,Student_281,Female,12A,68,40,81,69,87
1282,Student_282,Female,10B,37,66,56,89,78
1283,Student_283,Female,12B,39,60,37,95,59
1284,Student_284,Male,11A,44,49,35,81,96
1285,Student_285,Female,10B,86,83,87,90,48
1286,Student_286,Male,12B,63,90,98,52,81
1287,Student_287,Male,11B,65,71,78,99,89
1288,Student_288,Male,12A,100,87,81,87,46
1289,Student_289,Male,10A,71,92,72,45,41
1290,Student_290,Female,10A,61,70,97,35,83
1291,Student_291,Male,12A,67,45,75,42,48
1292,Student_292,Male,11A,93,61,55,53,63
1293,Student_293,Male,10B,98,36,79,89,81
1294,Student_294,Female,11A,78,56,47,50,48
1295,Student_295,Female,10A,83,100,100,100,85
1296,Student_296,Female,12B,87,51,100,46,48
1297,Student_297,Female,12A,83,38,77,96,42
1298,Student_298,Male,12A,100,48,96,92,99
1299,Student_299,Male,11A,97,41,82,55,71
1300,Student_300,Female,12B,59,50,60,71,50
1301,Student_301,Male,11A,38,100,95,39,54
1302,Student_302,Male,10B,85,53,96,66,66
1303,Student_303,Male,11B,45,35,48,44,64
1304,Student_304,Female,12B,51,65,88,96,54
1305,Student_305,Female,11B,100,38,75,71,92
1306,Student_306,Male,10B,63,92,94,81,63
1307,Student_307,Female,11B,54,90,43,83,58
1308,Student_308,Female,10A,61,87,78,58,35
1309,Student_309,Female,11B,42,77,90,60,61
1310,Student_310,Female,10B,95,83,37,89,55
1311,Student_311,Female,11B,62,94,93,41,51
1312,Student_312,Male,12A,37,50,47,75,66
1313,Student_313,Female,11A,41,94,64,36,78
1314,Student_314,Male,10A,94,81,87,64,56
1315,Student_315,Male,12A,38,49,85,54,76
1316,Student_316,Female,12A,39,97,76,90,96
1317,Student_317,Male,10B,45,62,60,58,82
1318,Student_318,Male,11A,49,54,93,46,42
1319,Student_319,Male,11A,98,97,37,49,36
1320,Student_320,Female,12B,47,67,75,82,39
1321,Student_321,Female,10A,41,70,35,95,62
1322,Student_322,Male,10B,40,47,99,62,38
1323,Student_323,Female,10A,90,96,84,37,87
1324,Student_324,Female,12B,98,57,93,50,35
1325,Student_325,Female,11B,84,47,97,70,40
1326,Student_326,Female,12A,64,74,59,38,89
1327,Student_327,Male,10A,56,64,44,43,86
1328,Student_328,Male,12A,59,59,35,46,58
1329,Student_329,Female,10B,62,60,48,78,96
1330,Student_330,Female,11B,73,58,55,100,90
1331,Student_331,Male,10B,39,73,92,53,58
1332,Student_332,Male,11B,99,95,72,47,54
1333,Student_333,Female,11B,49,83,35,89,68
1334,Student_334,Male,12A,74,75,39,99,49
1335,Student_335,Female,10B,77,54,78,37,85
1336,Student_336,Female,10B,35,78,99,59,38
1337,Student_337,Male,10A,56,50,91,86,87
1338,Student_338,Male,10B,96,55,79,50,48
1339,Student_339,Female,10A,60,49,94,77,99
1340,Student_340,Female,11A,52,73,100,90,67
1341,Student_341,Male,11A,82,76,81,42,84
1342,Student_342,Female,11A,43,95,60,78,97
1343,Student_343,Male,12B,35,38,43,72,84
1344,Student_344,Female,10B,43,58,85,57,70
1345,Student_345,Male,12B,57,37,42,40,84
1346,Student_346,Male,10B,79,35,39,77,75
1347,Student_347,Male,10A,36,47,73,78,61
1348,Student_348,Female,12B,48,88,74,57,64
1349,Student_349,Female,12B,72,74,70,50,66
1350,Student_350,Male,12B,74,45,55,43,56
1351,Student_351,Female,11B,97,76,60,43,55
1352,Student_352,Male,10A,50,38,90,92,90
1353,Student_353,Male,11A,40,59,91,99,65
1354,Student_354,Female,10A,37,70,93,93,93
1355,Student_355,Female,11B,48,98,41,57,77
1356,Student_356,Male,10B,100,78,76,53,88
1357,Student_357,Female,10A,65,74,47,69,52
1358,Student_358,Female,12B,67,79,68,89,89
1359,Student_359,Male,11A,35,42,87,74,63
1360,Student_360,Male,11A,78,69,80,48,95
1361,Student_361,Female,10B,49,78,91,47,85
1362,Student_362,Male,10A,71,52,95,87,46
1363,Student_363,Male,11B,61,81,90,73,95
1364,Student_364,Female,10B,82,59,63,99,50
1365,Student_365,Male,10A,61,75,48,90,46
1366,Student_366,Male,12A,46,39,47,74,96
1367,Student_367,Female,11A,64,98,51,80,94
1368,Student_368,Female,11B,100,96,63,41,62
1369,Student_369,Male,12B,41,37,36,79,98
1370,Student_370,Male,11B,68,71,96,56,84
1371,Student_371,Female,12B,66,75,54,41,60
1372,Student_372,Female,11B,73,54,90,86,74
1373,Student_373,Female,11A,77,74,86,37,89
1374,Student_374,Female,12B,77,42,59,92,65
1375,Student_375,Male,10A,37,39,96,88,39
1376,Student_376,Female,12B,80,59,51,43,47
1377,Student_377,Female,10B,66,73,73,88,52
1378,Student_378,Male,10A,77,71,44,85,84
1379,Student_379,Female,10B,37,39,93,50,70
1380,Student_380,Male,11B,97,42,59,46,86
1381,Student_381,Female,10A,74,38,62,54,67
1382,Student_382,Female,11B,52,75,95,87,98
1383,Student_383,Female,12A,96,94,92,65,64
1384,Student_384,Male,11B,44,88,78,55,56
1385,Student_385,Male,11B,86,56,57,37,93
1386,Student_386,Female,10B,80,53,51,55,42
1387,Student_387,Male,12B,89,67,72,62,100
1388,Student_388,Male,12A,80,56,64,39,71
1389,Student_389,Male,11B,94,99,53,81,90
1390,Student_390,Male,11B,60,45,66,54,95
1391,Student_391,Male,12A,61,50,54,72,99
1392,Student_392,Male,12A,72,78,98,71,76
1393,Student_393,Female,10A,56,43,70,92,83
1394,Student_394,Female,10B,60,96,99,51,43
1395,Student_395,Male,12A,69,49,77,76,42
1396,Student_396,Female,12A,100,40,60,66,92
1397,Student_397,Female,11A,85,35,41,96,88
1398,Student_398,Female,12B,52,54,68,55,82
1399,Student_399,Female,12A,77,70,70,67,88
1400,Student_400,Male,10B,46,36,40,40,62
1401,Student_401,Female,12B,37,36,71,100,100
1402,Student_402,Female,12B,41,37,96,66,65
1403,Student_403,Male,11B,40,41,94,98,47
1404,Student_404,Male,11B,79,98,98,60,93
1405,Student_405,Female,11B,73,75,84,96,65
1406,Student_406,Female,11B,85,88,86,39,67
1407,Student_407,Female,11A,43,75,51,45,87
1408,Student_408,Female,12A,57,39,94,83,70
1409,Student_409,Female,11B,46,97,88,96,68
1410,Student_410,Female,10A,96,35,44,94,95
1411,Student_411,Male,11B,74,59,59,36,94
1412,Student_412,Female,12A,88,80,52,93,37
1413,Student_413,Female,11B,41,49,98,59,40
1414,Student_414,Male,11A,51,51,93,76,54
1415,Student_415,Male,10B,84,55,61,89,38
1416,Student_416,Male,10B,58,87,92,72,87
1417,Student_417,Male,12A,36,89,95,77,96
1418,Student_418,Female,10B,67,44,77,87,72
1419,Student_419,Female,10B,55,91,45,55,70
1420,Student_420,Female,10A,87,99,39,54,68
1421,Student_421,Female,12A,80,71,92,53,40
1422,Student_422,Female,12A,79,41,73,67,100
1423,Student_423,Female,10B,43,74,82,97,52
1424,Student_424,Male,10B,40,84,54,94,61
1425,Student_425,Female,10B,85,35,53,53,73
1426,Student_426,Male,12B,69,54,94,62,85
1427,Student_427,Male,11A,87,65,60,56,53
1428,Student_428,Female,11B,53,46,59,85,68
1429,Student_429,Male,11A,59,56,49,97,58
1430,Student_430,Female,12A,45,35,55,96,59
1431,Student_431,Male,10A,51,35,81,63,64
1432,Student_432,Female,11B,70,37,69,66,88
1433,Student_433,Male,10A,55,55,78,59,59
1434,Student_434,Female,12B,52,47,40,50,39
1435,Student_435,Female,12A,94,95,57,49,36
1436,Student_436,Female,12B,52,47,73,93,97
1437,Student_437,Female,12A,35,67,52,82,88
1438,Student_438,Female,10A,48,40,74,52,72
1439,Student_439,Male,10A,42,59,70,57,51
1440,Student_440,Male,10A,100,57,62,89,65
1441,Student_441,Male,12A,85,60,98,76,35
1442,Student_442,Female,10B,94,38,92,37,40
1443,Student_443,Male,10A,68,69,72,86,70
1444,Student_444,Female,12B,70,59,78,45,42
1445,Student_445,Female,11B,96,54,36,89,44
1446,Student_446,Male,12A,35,35,69,59,58
1447,Student_447,Male,12B,76,57,35,75,97
1448,Student_448,Female,11A,35,56,80,71,74
1449,Student_449,Male,11A,88,96,94,89,36
1450,Student_450,Female,11B,81,35,97,43,54
1451,Student_451,Female,10B,73,93,79,70,67
1452,Student_452,Female,10A,64,53,91,91,48
1453,Student_453,Female,12A,41,64,71,97,88
1454,Student_454,Female,12B,56,35,41,54,89
1455,Student_455,Male,10A,84,82,50,81,71
1456,Student_456,Male,12B,79,53,84,54,40
1457,Student_457,Female,12A,44,86,48,40,67
1458,Student_458,Female,11A,48,56,40,63,84
1459,Student_459,Male,10A,80,84,95,83,85
1460,Student_460,Male,11B,40,100,55,40,100
1461,Student_461,Female,10B,55,40,44,73,95
1462,Student_462,Male,11B,96,98,66,66,62
1463,Student_463,Female,10B,53,55,40,83,78
1464,Student_464,Male,12B,96,53,36,77,46
1465,Student_465,Female,10A,87,71,73,62,91
1466,Student_466,Male,10A,58,97,83,79,60
1467,Student_467,Female,10B,90,63,61,99,59
1468,Student_468,Male,11A,96,94,90,84,49
1469,Student_469,Male,12A,68,68,48,88,87
1470,Student_470,Female,11B,56,35,57,85,99
1471,Student_471,Male,12B,91,82,85,77,88
1472,Student_472,Female,11B,44,55,59,98,73
1473,Student_473,Male,11B,100,68,87,64,85
1474,Student_474,Female,12B,42,60,45,76,54
1475,Student_475,Male,12B,72,70,69,72,98
1476,Student_476,Female,10A,96,57,89,100,45
1477,Student_477,Male,11B,62,81,92,49,86
1478,Student_478,Female,12A,44,78,71,95,88
1479,Student_479,Male,12A,79,54,43,40,41
1480,Student_480,Female,10B,99,61,62,58,46
1481,Student_481,Female,12B,43,95,89,48,36
1482,Student_482,Female,10A,39,71,80,46,55
1483,Student_483,Male,12A,44,86,61,89,70
1484,Student_484,Female,11A,46,96,44,78,55
1485,Student_485,Male,10A,92,100,57,85,87
1486,Student_486,Female,10A,55,58,55,72,53
1487,Student_487,Male,12A,55,46,79,75,37
1488,Student_488,Female,11A,99,50,37,78,94
1489,Student_489,Male,10B,37,70,93,50,68
1490,Student_490,Male,12A,98,36,77,84,63
1491,Student_491,Female,11A,83,96,41,72,91
1492,Student_492,Male,10A,51,98,61,39,74
1493,Student_493,Male,11A,66,63,96,43,84
1494,Student_494,Female,10A,55,65,76,73,53
1495,Student_495,Male,12A,41,49,38,61,56
1496,Student_496,Male,12B,41,89,96,66,85
1497,Student_497,Male,12A,61,67,42,98,83
1498,Student_498,Female,11B,42,86,51,67,86
1499,Student_499,Male,11B,62,54,39,52,56
1500,Student_500,Female,11B,100,72,97,39,96
1501,Student_501,Male,12A,81,37,43,93,94
1502,Student_502,Male,10B,44,88,42,38,41
1503,Student_503,Male,12A,67,100,41,50,87
1504,Student_504,Female,12B,41,52,71,82,65
1505,Student_505,Male,11A,37,41,89,100,38
1506,Student_506,Male,12A,48,69,42,42,41
1507,Student_507,Female,12A,78,94,39,78,37
1508,Student_508,Male,10A,80,58,51,55,59
1509,Student_509,Female,10A,95,73,92,60,68
1510,Student_510,Female,10A,70,46,97,69,67
1511,Student_511,Male,12A,47,87,61,49,72
1512,Student_512,Female,10B,50,98,62,74,38
1513,Student_513,Male,11A,39,38,92,64,82
1514,Student_514,Female,11A,72,39,84,100,95
1515,Student_515,Female,12B,84,50,65,47,99
1516,Student_516,Male,10B,72,61,46,35,95
1517,Student_517,Female,10B,90,38,89,77,35
1518,Student_518,Female,11A,97,82,38,62,40
1519,Student_519,Female,11B,82,42,76,35,55
1520,Student_520,Female,10A,93,80,88,74,62
1521,Student_521,Female,10A,78,78,56,68,100
1522,Student_522,Male,11A,89,86,35,47,61
1523,Student_523,Female,10B,89,68,82,95,66
1524,Student_524,Male,12B,35,96,77,100,46
1525,Student_525,Female,11B,42,55,54,38,99
1526,Student_526,Male,11A,38,58,52,47,80
1527,Student_527,Male,10A,87,78,83,70,74
1528,Student_528,Female,12A,92,75,51,95,43
1529,Student_529,Female,10B,71,63,87,92,96
1530,Student_530,Female,12A,83,40,56,49,50
1531,Student_531,Male,12B,53,90,44,46,74
1532,Student_532,Female,11A,35,48,58,95,69
1533,Student_533,Male,10A,63,84,46,76,94
1534,Student_534,Male,11B,67,86,38,66,37
1535,Student_535,Male,12A,86,35,76,36,87
1536,Student_536,Female,11B,75,46,39,42,93
1537,Student_537,Female,12B,57,58,60,88,70
1538,Student_538,Male,10A,39,71,93,42,100
1539,Student_539,Male,12A,91,37,96,47,71
1540,Student_540,Female,12B,40,61,39,63,78
1541,Student_541,Male,11B,83,87,60,47,98
1542,Student_542,Female,11B,56,51,40,92,85
1543,Student_543,Male,12A,38,49,58,97,40
1544,Student_544,Female,10A,98,73,87,81,55
1545,Student_545,Male,11B,71,38,41,72,91
1546,Student_546,Female,11A,65,51,44,74,62
1547,Student_547,Male,12B,71,45,73,35,58
1548,Student_548,Female,12A,79,46,62,36,97
1549,Student_549,Female,10B,42,66,76,63,56
1550,Student_550,Male,10B,74,61,96,41,68
1551,Student_551,Male,10A,39,78,86,91,71
1552,Student_552,Female,11A,62,77,56,89,75
1553,Student_553,Male,11B,43,83,91,70,77
1554,Student_554,Female,10B,36,77,45,41,56
1555,Student_555,Male,10A,97,37,48,44,49
1556,Student_556,Female,12B,85,63,65,73,55
1557,Student_557,Female,11A,65,69,38,92,86
1558,Student_558,Female,11A,41,82,56,74,38
1559,Student_559,Female,10A,64,73,98,48,81
1560,Student_560,Female,10A,92,58,95,35,52
1561,Student_561,Female,11B,37,54,40,51,69
1562,Student_562,Male,10A,85,49,40,83,41
1563,Student_563,Male,11B,90,52,100,50,75
1564,Student_564,Male,11B,44,94,70,41,44
1565,Student_565,Female,12A,95,75,49,49,96
1566,Student_566,Female,11A,84,45,74,55,99
1567,Student_567,Female,12B,81,90,75,100,46
1568,Student_568,Female,11A,35,52,41,93,62
1569,Student_569,Male,11A,91,46,56,82,92
1570,Student_570,Male,12A,72,50,45,84,90
1571,Student_571,Female,11B,96,61,36,44,52
1572,Student_572,Male,11B,99,51,64,86,99
1573,Student_573,Male,10A,96,65,87,64,91
1574,Student_574,Female,12A,90,69,55,68,84
1575,Student_575,Male,10A,51,61,59,99,79
1576,Student_576,Female,12A,42,66,39,94,96
1577,Student_577,Male,10A,94,51,100,42,99
1578,Student_578,Female,10B,74,45,83,99,89
1579,Student_579,Female,11A,96,35,42,91,72
1580,Student_580,Female,11A,75,83,61,79,38
